DESs;  Temperature;  Time;  Feedstocks;  Solid loading; Delignification;  Reference
cholinechloride:oxalic acid (1:1);  90;  8;  Corncob;  5;  99;  (Tan Y. T., Chua A. S. M., & Ngoh G. C. J. B. T., 2020)
cholinechloride:oxalic acid (1:1);  90;  24;  Corncob;  5;  98.5;   (Zhou M., et al., 2022)
cholinechloride:lactic acid(1:9);  120;  6;  Poplar;  10;  98.1;  (Chen Z., Ragauskas A., Wan C. J. I. c., & products, 2020) 
cholinechloride:tartaric acid:lactic acid (1:1:4);  150;  2;  Pinus pinaster Ait.;  10;  95;   (Zhou M., et al., 2022)
cholinechloride:lactic acid (1:2);  120;  6;  Poplar;  5;  95;  (Chen Z., Ragauskas A., Wan C. J. I. c., & products, 2020) 
cholinechloride:lactic acid (1:10);  130;  6;  Eucalyptus globulus;  10;  93.2;   (Zhou M., et al., 2022)
cholinechloride:lactic acid (1:15);  90;  24;  Corncob;  5;  93.1;   (Zhou M., et al., 2022)
cholinechloride:lactic acid1:15;  90;  24;  Wheat straw;  5;  93;  (Tan Y. T., Chua A. S. M., & Ngoh G. C. J. B. T., 2020)
cholinechloride:lactic acid (1:10);  120;  12;  Willow;  10;  91.8;   (Zhou M., et al., 2022)
cholinechloride:lactic acid (1:10);  130;  1.5;  Poplar;  10;  89.3;   (Zhou M., et al., 2022)
cholinechloride:lactic acid (1:5);  120;  6;  Oil palm empty fruit bunch;  5;  88;  (Tan Y. T., Chua A. S. M., & Ngoh G. C. J. B. T., 2020)
cholinechloride:lactic acid (1:5);  120;  8;  Oil palm empty fruit bunch;  10;  88;   (Zhou M., et al., 2022)
cholinechloride:Imidazole (1:2);  150;  15;  Corncob;  6.25;  88;  (Jose D., et al., 2023)
cholinechloride:ethylene glycol (1:2);  90;  14;  Corncob;  10;  88;  (Tan Y. T., Chua A. S. M., & Ngoh G. C. J. B. T., 2020)
cholinechloride:Lactic acid (1:10);  60;  0.33;  Wheat straw;  5;  87.9;  (Tan Y. T., Chua A. S. M., & Ngoh G. C. J. B. T., 2020)
cholinechloride:glycol (1:2);  90;  24;  Corncob;  5;  87.6;   (Zhou M., et al., 2022)
cholinechloride:lactic acid (1:10);  90;  24;  Corncob;  5;  86.1;   (Zhou M., et al., 2022)
cholinechloride:lactic acid(1:10);  90;  24;  Wheat straw;  5;  86;  (Tan Y. T., Chua A. S. M., & Ngoh G. C. J. B. T., 2020)
cholinechloride:lactic acid (1:10);  90;  8;  Corncob;  5;  86;  (Tan Y. T., Chua A. S. M., & Ngoh G. C. J. B. T., 2020)
cholinechloride:lactic acid (1:10);  120;  12;  Cunninghamia;  3.3;  81.73;   (Zhou M., et al., 2022)
cholinechloride:monoethanolamine (1:6);  90;  12;  Wheat straw;  5;  81;   (Zhou M., et al., 2022)
cholinechloride:formic acid (1:2);  120;  90;  Eucalyptus;  5;  80.7;  (Jose D., et al., 2023)
cholinechloride:lactic acid(1:10);  110;  6;  Eucalyptus;  10;  80;  (Chen Z., Ragauskas A., Wan C. J. I. c., & products, 2020) 
cholinechloride:lactic acid(1:2);  145;  9;  Poplar wood;  10;  79;  (Tan Y. T., Chua A. S. M., & Ngoh G. C. J. B. T., 2020)
cholinechloride:glycol (1:2) ;  130;  0.5;  Switchgrass;  10;  78.9;  (Chen Z., Ragauskas A., Wan C. J. I. c., & products, 2020) 
cholinechloride:lactic acid (1:2);  120;  12;  Wheat straw;  10;  78.6;   (Zhou M., et al., 2022)
cholinechloride:lactic acid (1:2);  145;  6;  Poplactic acidr;  10;  78.5;   (Zhou M., et al., 2022)
cholinechloride:lactic acid (1:5);  90;  8;  Corncob;  5;  78;  (Tan Y. T., Chua A. S. M., & Ngoh G. C. J. B. T., 2020)
cholinechloride:lactic acid (1:2);  145;  6;  Sorghum;  10;  78;   (Zhou M., et al., 2022)
cholinechloride:lactic acid (1:5);  90;  24;  Corncob;  10;  77.9;   (Zhou M., et al., 2022)
cholinechloride:imidazole (3:7);  115;  15;  Corncob;  6.25;  76.7;  (Chen Z., Ragauskas A., Wan C. J. I. c., & products, 2020) 
cholinechloride:glycerol (1:2);  110;  1;  Switchgrass;  10;  76.6;   (Zhou M., et al., 2022)
cholinechloride:oxalic acid (1:2);  120;  1;  Rice straw;  5;  75.9;  (Chen Z., Ragauskas A., Wan C. J. I. c., & products, 2020) 
cholinechloride:ethylene glyco (1:2);  130;  0.6;  Poplar;  27;  74.55;  (Bao Y., Wang Y., Yan C., & Xue Z. J. G. C. E., 2024)
cholinechloride:diethanolamine (1:8);  90;  12;  Wheat straw;  5;  73.5;   (Zhou M., et al., 2022)
cholinechloride:lactic acid(1:2);  120;  3;  Poplar wood;  10;  72;  (Tan Y. T., Chua A. S. M., & Ngoh G. C. J. B. T., 2020)
cholinechloride:glycerol (1:2);  90;  24;  Corncob;  5;  71.3;   (Zhou M., et al., 2022)
cholinechloride:glycerol (1:2);  90;  14;  Corncob;  10;  71;  (Tan Y. T., Chua A. S. M., & Ngoh G. C. J. B. T., 2020)
cholinechloride:lactic acid(1:2);  145;  6;  Walnut endocarps;  11;  70.2;  (Chen Z., Ragauskas A., Wan C. J. I. c., & products, 2020) 
cholinechloride:lactic acid (1:2);  145;  6;  Peach endocarp cells;  10;  70.2;   (Zhou M., et al., 2022)
