Recombinant ternary DES;Predicted delignification
cholinechloride[1]oxalicacid[5]glycol[1];  86.43
cholinechloride[1]oxalicacid[5]glycerol[1];  85.34
cholinechloride[1]oxalicacid[5]propanediol[1];  84.18
cholinechloride[1]oxalicacid[5]xylitol[1];  83.53
cholinechloride[1]oxalicacid[5]butanediol[1];  82.27
cholinechloride[1]oxalicacid[2]glycol[1];  81.92
cholinechloride[1]oxalicacid[5]benzylalcohol[1];  81.75
cholinechloride[1]oxalicacid[2]glycerol[1];  81.25
cholinechloride[1]Lacticacid[5]glycol[1];  81
cholinechloride[1]Lacticacid[5]glycerol[1];  79.21
cholinechloride[1]maleicacid[5]glycol[1];  78.36
cholinechloride[1]Lacticacid[5]propanediol[1];  78.3
cholinechloride[1]Lacticacid[2]glycol[1];  78.05
cholinechloride[1]glycolicacid[5]glycol[1];  77.73
cholinechloride[1]glycolicacid[5]propanediol[1];  77.63
cholinechloride[1]oxalicacid[2]propanediol[1];  76.51
cholinechloride[1]maleicacid[2]glycol[1];  76.13
cholinechloride[1]glycolicacid[5]glycerol[1];  75.93
cholinechloride[1]maleicacid[5]glycerol[1];  75.35
cholinechloride[1]Lacticacid[2]propanediol[1];  74.69
cholinechloride[1]glycolicacid[5]butanediol[1];  74.65
cholinechloride[1]oxalicacid[2]butanediol[1];  74.62
cholinechloride[1]maleicacid[5]benzylalcohol[1];  74.41
cholinechloride[1]aceticacid[5]benzylalcohol[1];  74.08
cholinechloride[1]glycolicacid[2]butanediol[1];  73.95
cholinechloride[1]Lacticacid[2]butanediol[1];  73.42
cholinechloride[1]maleicacid[5]propanediol[1];  73.08
cholinechloride[1]maleicacid[2]propanediol[1];  72.93
cholinechloride[1]maleicacid[5]butanediol[1];  72.76
cholinechloride[1]Lacticacid[5]butanediol[1];  72.5
cholinechloride[1]formicacid[5]propanediol[1];  72.09
cholinechloride[1]formicacid[5]glycol[1];  72.08
cholinechloride[1]aceticacid[5]butanediol[1];  71.76
cholinechloride[1]oxalicacid[2]benzylalcohol[1];  71.16
cholinechloride[1]maleicacid[2]glycerol[1];  71.01
cholinechloride[1]maleicacid[2]butanediol[1];  70.77
cholinechloride[1]maleicacid[2]benzylalcohol[1];  70.4
cholinechloride[1]succinicacid[5]glycol[1];  70.03
cholinechloride[1]oxalicacid[2]xylitol[1];  69.98
cholinechloride[1]aceticacid[5]glycol[1];  69.93
cholinechloride[1]aceticacid[5]propanediol[1];  69.46
cholinechloride[1]Lacticacid[2]benzylalcohol[1];  69.06
